Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Chhattisgarh, 31-03-2020, Monthly, 7.31, 6894808.00, 44.98,Rural
Chhattisgarh, 30-04-2020, Monthly, 0.00, 6534321.00, 39.43,Rural
Chhattisgarh, 31-05-2020, Monthly, 7.64, 5454091.00, 35.56,Rural
Chhattisgarh, 30-06-2020, Monthly, 10.14, 5781095.00, 38.66,Rural
Delhi, 31-05-2019, Monthly, 12.56, 169487.00, 42.33,Rural
Delhi, 30-06-2019, Monthly, 9.33, 149076.00, 35.74,Rural
Delhi, 31-07-2019, Monthly, 11.07, 166605.00, 40.53,Rural
Delhi, 31-08-2019, Monthly, 17.18, 135407.00, 35.21,Rural
Delhi, 30-09-2019, Monthly, 12.50, 166056.00, 40.68,Rural
Delhi, 31-10-2019, Monthly, 15.84, 149511.00, 37.90,Rural
Delhi, 30-11-2019, Monthly, 11.11, 178768.00, 42.71,Rural
Delhi, 31-12-2019, Monthly, 16.97, 145671.00, 37.08,Rural
Delhi, 31-01-2020, Monthly, 13.48, 157791.00, 38.36,Rural
Delhi, 29-02-2020, Monthly, 13.81, 147500.00, 35.84,Rural
Delhi, 31-03-2020, Monthly, 15.18, 152413.00, 37.45,Rural
Delhi, 30-04-2020, Monthly, 20.69, 115487.00, 30.21,Rural
Delhi, 31-05-2020, Monthly, 22.76, 129610.00, 34.65,Rural
Delhi, 30-06-2020, Monthly, 21.14, 112108.00, 29.22,Rural
Goa, 31-05-2019, Monthly, 2.91, 179340.00, 39.16,Rural
Goa, 30-06-2019, Monthly, 5.45, 170471.00, 38.19,Rural
Goa, 31-07-2019, Monthly, 10.98, 167437.00, 39.81,Rural
Goa, 31-08-2019, Monthly, 1.98, 183603.00, 39.61,Rural
Goa, 30-09-2019, Monthly, 3.61, 163215.00, 35.78,Rural
Goa, 31-10-2019, Monthly, 7.21, 177440.00, 40.36,Rural
Goa, 30-11-2019, Monthly, 23.71, 159489.00, 44.09,Rural
Goa, 31-12-2019, Monthly, 3.54, 177155.00, 38.70,Rural
Goa, 31-01-2020, Monthly, 5.38, 158936.00, 35.36,Rural
Goa, 29-02-2020, Monthly, 0.00, 171672.00, 36.11,Rural
Goa, 30-04-2020, Monthly, 15.91, 181657.00, 45.36,Rural
Goa, 31-05-2020, Monthly, 20.00, 128538.00, 33.71,Rural
Gujarat, 31-05-2019, Monthly, 2.88, 13954728.00, 52.03,Rural
Gujarat, 30-06-2019, Monthly, 4.77, 13199281.00, 50.12,Rural
Gujarat, 31-07-2019, Monthly, 4.58, 14327083.00, 54.21,Rural
Gujarat, 31-08-2019, Monthly, 3.70, 13507342.00, 50.57,Rural
Gujarat, 30-09-2019, Monthly, 6.29, 13280783.00, 51.01,Rural
Gujarat, 31-10-2019, Monthly, 4.91, 13828512.00, 52.27,Rural
Gujarat, 30-11-2019, Monthly, 4.68, 14487815.00, 54.55,Rural
Gujarat, 31-12-2019, Monthly, 3.46, 13877825.00, 51.51,Rural
Gujarat, 31-01-2020, Monthly, 5.35, 14301844.00, 54.07,Rural
Gujarat, 29-02-2020, Monthly, 6.64, 13973042.00, 53.48,Rural
Gujarat, 31-03-2020, Monthly, 7.59, 13483615.00, 52.06,Rural
Gujarat, 30-04-2020, Monthly, 12.00, 8587594.00, 34.77,Rural
Gujarat, 31-05-2020, Monthly, 14.58, 11121124.00, 46.31,Rural
Gujarat, 30-06-2020, Monthly, 1.41, 13243922.00, 47.72,Rural
Haryana, 31-05-2019, Monthly, 14.54, 5249186.00, 45.12,Rural
Haryana, 30-06-2019, Monthly, 23.08, 4745178.00, 45.23,Rural
Haryana, 31-07-2019, Monthly, 16.22, 4826560.00, 42.17,Rural
Haryana, 31-08-2019, Monthly, 30.94, 4558306.00, 48.23,Rural
Haryana, 30-09-2019, Monthly, 16.36, 5127956.00, 44.72,Rural
Haryana, 31-10-2019, Monthly, 24.17, 4798833.00, 46.07,Rural
Haryana, 30-11-2019, Monthly, 16.59, 4875763.00, 42.48,Rural
Haryana, 31-12-2019, Monthly, 29.56, 4603484.00, 47.40,Rural
Haryana, 31-01-2020, Monthly, 16.21, 5062293.00, 43.74,Rural
Haryana, 29-02-2020, Monthly, 27.19, 4570108.00, 45.37,Rural
Haryana, 31-03-2020, Monthly, 23.92, 4366148.00, 41.40,Rural
Haryana, 30-04-2020, Monthly, 41.61, 4041050.00, 49.85,Rural
Haryana, 31-05-2020, Monthly, 34.22, 3914193.00, 42.78,Rural
Haryana, 30-06-2020, Monthly, 35.57, 4357835.00, 48.53,Rural
Himachal Pradesh, 31-05-2019, Monthly, 13.68, 2045760.00, 44.23,Rural
Himachal Pradesh, 30-06-2019, Monthly, 11.43, 1957081.00, 41.18,Rural
Himachal Pradesh, 31-07-2019, Monthly, 20.59, 1916824.00, 44.91,Rural
Himachal Pradesh, 31-08-2019, Monthly, 18.56, 1969248.00, 44.91,Rural
Himachal Pradesh, 30-09-2019, Monthly, 15.98, 2039804.00, 45.02,Rural
Himachal Pradesh, 31-10-2019, Monthly, 15.81, 1946957.00, 42.81,Rural
Himachal Pradesh, 30-11-2019, Monthly, 22.86, 2024409.00, 48.50,Rural
Himachal Pradesh, 31-12-2019, Monthly, 19.46, 1922821.00, 44.05,Rural
Himachal Pradesh, 31-01-2020, Monthly, 16.67, 2041035.00, 45.11,Rural
Himachal Pradesh, 29-02-2020, Monthly, 15.42, 1952464.00, 42.45,Rural
Himachal Pradesh, 31-03-2020, Monthly, 17.71, 1800426.00, 40.17,Rural
Himachal Pradesh, 30-04-2020, Monthly, 2.13, 984171.00, 18.43,Rural
Himachal Pradesh, 31-05-2020, Monthly, 25.64, 1732050.00, 42.62,Rural
Himachal Pradesh, 30-06-2020, Monthly, 1.12, 2230075.00, 41.20,Rural
Jammu & Kashmir, 31-05-2019, Monthly, 12.78, 2495186.00, 40.57,Rural
Jammu & Kashmir, 30-06-2019, Monthly, 12.09, 2423742.00, 39.02,Rural
Jammu & Kashmir, 31-07-2019, Monthly, 13.67, 2549316.00, 41.71,Rural
Jammu & Kashmir, 31-08-2019, Monthly, 11.32, 2778624.00, 44.17,Rural
Jammu & Kashmir, 31-10-2019, Monthly, 19.27, 2477621.00, 43.08,Rural
Jammu & Kashmir, 30-11-2019, Monthly, 14.73, 2415724.00, 39.69,Rural
Jammu & Kashmir, 31-01-2020, Monthly, 22.19, 2373488.00, 42.56,Rural
Jammu & Kashmir, 29-02-2020, Monthly, 21.23, 2163397.00, 38.25,Rural
Jammu & Kashmir, 31-03-2020, Monthly, 16.00, 2361004.00, 39.06,Rural
Jammu & Kashmir, 31-05-2020, Monthly, 2.22, 2716966.00, 38.46,Rural
Jammu & Kashmir, 30-06-2020, Monthly, 18.97, 2049617.00, 34.94,Rural
Jharkhand, 31-05-2019, Monthly, 7.11, 7035766.00, 39.04,Rural
Jharkhand, 30-06-2019, Monthly, 8.46, 7319782.00, 41.12,Rural
Jharkhand, 31-07-2019, Monthly, 9.98, 6958404.00, 39.66,Rural
Jharkhand, 31-08-2019, Monthly, 12.06, 7015356.00, 40.83,Rural
Jharkhand, 30-09-2019, Monthly, 7.12, 7500122.00, 41.24,Rural
Jharkhand, 31-10-2019, Monthly, 6.57, 7761243.00, 42.33,Rural
Jharkhand, 30-11-2019, Monthly, 8.07, 7279628.00, 40.26,Rural
Jharkhand, 31-12-2019, Monthly, 15.15, 6873437.00, 41.09,Rural
Jharkhand, 31-01-2020, Monthly, 6.16, 7868736.00, 42.43,Rural
Jharkhand, 29-02-2020, Monthly, 9.06, 7932402.00, 44.05,Rural
Jharkhand, 31-03-2020, Monthly, 5.01, 7157454.00, 37.96,Rural
Jharkhand, 30-04-2020, Monthly, 41.72, 4280434.00, 36.92,Rural
Jharkhand, 31-05-2020, Monthly, 55.10, 3315038.00, 37.03,Rural
Jharkhand, 30-06-2020, Monthly, 21.53, 6375114.00, 40.65,Rural
Karnataka, 31-05-2019, Monthly, 5.46, 13911440.00, 46.36,Rural
Karnataka, 30-06-2019, Monthly, 5.98, 12888490.00, 43.12,Rural
Karnataka, 31-07-2019, Monthly, 0.52, 12169808.00, 38.42,Rural
Karnataka, 31-08-2019, Monthly, 0.37, 12686470.00, 39.93,Rural
Karnataka, 30-09-2019, Monthly, 3.20, 13741892.00, 44.45,Rural
Karnataka, 31-10-2019, Monthly, 7.13, 12803527.00, 43.10,Rural
Karnataka, 30-11-2019, Monthly, 1.19, 11537217.00, 36.45,Rural
Karnataka, 31-12-2019, Monthly, 0.41, 12756132.00, 39.92,Rural
Karnataka, 31-01-2020, Monthly, 2.57, 13938874.00, 44.52,Rural
Karnataka, 29-02-2020, Monthly, 4.11, 12753657.00, 41.33,Rural
Karnataka, 31-03-2020, Monthly, 2.39, 12853818.00, 40.85,Rural
Karnataka, 30-04-2020, Monthly, 33.17, 9330400.00, 43.25,Rural
Karnataka, 31-05-2020, Monthly, 23.72, 10626328.00, 43.09,Rural
Karnataka, 30-06-2020, Monthly, 10.92, 15396213.00, 53.37,Rural
Kerala, 31-05-2019, Monthly, 6.63, 5184355.00, 38.07,Rural
Kerala, 30-06-2019, Monthly, 9.00, 5605627.00, 42.19,Rural
Kerala, 31-07-2019, Monthly, 4.95, 4855393.00, 34.96,Rural
Kerala, 31-08-2019, Monthly, 10.32, 5233449.00, 39.90,Rural
Kerala, 30-09-2019, Monthly, 5.35, 5400499.00, 38.97,Rural
Kerala, 31-10-2019, Monthly, 9.14, 5328825.00, 40.02,Rural
Kerala, 30-11-2019, Monthly, 5.00, 4557906.00, 32.71,Rural
Kerala, 31-12-2019, Monthly, 10.77, 5065804.00, 38.67,Rural
Kerala, 31-01-2020, Monthly, 4.11, 5307026.00, 37.66,Rural
Kerala, 29-02-2020, Monthly, 8.91, 5203579.00, 38.84,Rural
Kerala, 31-03-2020, Monthly, 8.85, 4141953.00, 30.87,Rural
Kerala, 30-04-2020, Monthly, 10.71, 1754170.00, 13.33,Rural
Kerala, 31-05-2020, Monthly, 23.38, 3799919.00, 33.62,Rural
Kerala, 30-06-2020, Monthly, 27.66, 3952088.00, 37.01,Rural
Madhya Pradesh, 31-05-2019, Monthly, 3.63, 15349838.00, 37.97,Rural
Madhya Pradesh, 30-06-2019, Monthly, 4.25, 16294794.00, 40.48,Rural
Madhya Pradesh, 31-07-2019, Monthly, 3.92, 16274707.00, 40.20,Rural
Madhya Pradesh, 31-08-2019, Monthly, 4.94, 16559137.00, 41.25,Rural
Madhya Pradesh, 30-09-2019, Monthly, 3.08, 16159315.00, 39.40,Rural
Madhya Pradesh, 31-10-2019, Monthly, 2.98, 17060638.00, 41.46,Rural
Madhya Pradesh, 30-11-2019, Monthly, 2.72, 16306428.00, 39.44,Rural
Madhya Pradesh, 31-12-2019, Monthly, 2.94, 16854647.00, 40.77,Rural
Madhya Pradesh, 31-01-2020, Monthly, 3.66, 16183702.00, 39.35,Rural
Madhya Pradesh, 29-02-2020, Monthly, 4.42, 16178044.00, 39.57,Rural
Madhya Pradesh, 31-03-2020, Monthly, 1.19, 16480441.00, 38.90,Rural
Madhya Pradesh, 30-04-2020, Monthly, 12.50, 14238959.00, 37.88,Rural
Madhya Pradesh, 31-05-2020, Monthly, 22.46, 13099601.00, 39.24,Rural
Madhya Pradesh, 30-06-2020, Monthly, 6.46, 16748971.00, 41.50,Rural
Maharashtra, 31-05-2019, Monthly, 3.67, 23896858.00, 47.11,Rural
Maharashtra, 30-06-2019, Monthly, 4.34, 23056511.00, 45.69,Rural
Maharashtra, 31-07-2019, Monthly, 3.66, 24843750.00, 48.80,Rural
Maharashtra, 31-08-2019, Monthly, 3.76, 26835389.00, 52.67,Rural
Maharashtra, 30-09-2019, Monthly, 4.40, 25219281.00, 49.74,Rural
Maharashtra, 31-10-2019, Monthly, 3.81, 24330249.00, 47.61,Rural
Maharashtra, 30-11-2019, Monthly, 3.68, 24881383.00, 48.53,Rural
Maharashtra, 31-12-2019, Monthly, 3.03, 26357625.00, 50.98,Rural
Maharashtra, 31-01-2020, Monthly, 3.80, 25881398.00, 50.36,Rural
Maharashtra, 29-02-2020, Monthly, 4.24, 25293535.00, 49.36,Rural
Maharashtra, 31-03-2020, Monthly, 5.38, 23130976.00, 45.60,Rural
Maharashtra, 30-04-2020, Monthly, 25.28, 15014802.00, 37.42,Rural
Maharashtra, 31-05-2020, Monthly, 16.89, 18423447.00, 41.21,Rural
Maharashtra, 30-06-2020, Monthly, 9.40, 23601016.00, 48.34,Rural
Meghalaya, 31-05-2019, Monthly, 3.16, 1119011.00, 66.13,Rural
Meghalaya, 30-06-2019, Monthly, 4.23, 1024797.00, 61.09,Rural
Meghalaya, 31-07-2019, Monthly, 1.03, 1158511.00, 66.67,Rural
Meghalaya, 31-08-2019, Monthly, 0.52, 1065725.00, 60.86,Rural
Meghalaya, 30-09-2019, Monthly, 0.24, 1162159.00, 66.02,Rural
Meghalaya, 31-10-2019, Monthly, 3.70, 1080609.00, 63.44,Rural
Meghalaya, 30-11-2019, Monthly, 1.50, 1205703.00, 69.03,Rural
Meghalaya, 31-12-2019, Monthly, 1.80, 1102997.00, 63.18,Rural
Meghalaya, 31-01-2020, Monthly, 0.97, 1229406.00, 69.66,Rural
Meghalaya, 29-02-2020, Monthly, 2.76, 1112864.00, 64.06,Rural
Meghalaya, 31-03-2020, Monthly, 1.28, 1192616.00, 67.46,Rural
Meghalaya, 30-04-2020, Monthly, 8.38, 803118.00, 48.83,Rural
Meghalaya, 31-05-2020, Monthly, 3.73, 992148.00, 57.26,Rural
Meghalaya, 30-06-2020, Monthly, 1.35, 1150200.00, 64.63,Rural
Odisha, 31-05-2019, Monthly, 4.17, 11155753.00, 40.47,Rural
Odisha, 30-06-2019, Monthly, 4.71, 10965154.00, 39.94,Rural
Odisha, 31-07-2019, Monthly, 3.31, 12009883.00, 43.05,Rural
Odisha, 31-08-2019, Monthly, 3.68, 11727659.00, 42.13,Rural
Odisha, 30-09-2019, Monthly, 4.31, 11167715.00, 40.32,Rural
Odisha, 31-10-2019, Monthly, 4.28, 11621534.00, 41.88,Rural
Odisha, 30-11-2019, Monthly, 4.72, 12192623.00, 44.06,Rural
Odisha, 31-12-2019, Monthly, 4.67, 11345069.00, 40.91,Rural
Odisha, 31-01-2020, Monthly, 1.81, 11182128.00, 39.09,Rural
Odisha, 29-02-2020, Monthly, 3.31, 11842655.00, 41.98,Rural
Odisha, 31-03-2020, Monthly, 15.09, 9814156.00, 39.55,Rural
Odisha, 30-04-2020, Monthly, 24.48, 5562449.00, 25.16,Rural
Odisha, 31-05-2020, Monthly, 9.45, 9683719.00, 36.48,Rural
Odisha, 30-06-2020, Monthly, 4.59, 10187145.00, 36.36,Rural
Puducherry, 31-05-2019, Monthly, 0.00, 172474.00, 43.08,Rural
Puducherry, 30-06-2019, Monthly, 0.00, 184527.00, 45.95,Rural
Puducherry, 31-07-2019, Monthly, 0.00, 139227.00, 34.56,Rural
Puducherry, 31-08-2019, Monthly, 4.85, 183930.00, 47.83,Rural
Puducherry, 30-09-2019, Monthly, 0.00, 175718.00, 43.34,Rural
Puducherry, 31-10-2019, Monthly, 1.18, 180283.00, 44.85,Rural
Puducherry, 30-11-2019, Monthly, 0.00, 142787.00, 35.00,Rural
Puducherry, 31-12-2019, Monthly, 1.99, 180808.00, 45.07,Rural
Puducherry, 31-01-2020, Monthly, 0.58, 176252.00, 43.18,Rural
Puducherry, 29-02-2020, Monthly, 1.74, 183619.00, 45.38,Rural
Puducherry, 31-03-2020, Monthly, 2.31, 142176.00, 35.23,Rural
Puducherry, 30-04-2020, Monthly, 74.51, 49420.00, 46.79,Rural
Punjab, 31-05-2019, Monthly, 9.17, 6088547.00, 44.79,Rural
Punjab, 30-06-2019, Monthly, 12.21, 6025235.00, 45.79,Rural
Punjab, 31-07-2019, Monthly, 9.64, 6308129.00, 46.50,Rural
Punjab, 31-08-2019, Monthly, 6.69, 6183427.00, 44.08,Rural
Punjab, 30-09-2019, Monthly, 8.59, 6260971.00, 45.49,Rural
Punjab, 31-10-2019, Monthly, 12.56, 6021921.00, 45.66,Rural
Punjab, 30-11-2019, Monthly, 7.07, 6395022.00, 45.55,Rural
Punjab, 31-12-2019, Monthly, 6.13, 6164215.00, 43.40,Rural
Punjab, 31-01-2020, Monthly, 9.69, 6189471.00, 45.22,Rural
Punjab, 29-02-2020, Monthly, 10.41, 6009820.00, 44.19,Rural
Punjab, 31-03-2020, Monthly, 10.51, 6373692.00, 46.85,Rural
Punjab, 30-04-2020, Monthly, 3.69, 4721590.00, 32.20,Rural
Punjab, 31-05-2020, Monthly, 40.59, 3727366.00, 41.14,Rural
Punjab, 30-06-2020, Monthly, 20.00, 5364047.00, 43.90,Rural
Rajasthan, 31-05-2019, Monthly, 4.03, 15226005.00, 38.52,Rural
Rajasthan, 30-06-2019, Monthly, 13.70, 14610564.00, 41.02,Rural
Rajasthan, 31-07-2019, Monthly, 9.70, 14859873.00, 39.78,Rural
Rajasthan, 31-08-2019, Monthly, 12.50, 15052051.00, 41.48,Rural
Rajasthan, 30-09-2019, Monthly, 5.45, 15419779.00, 39.24,Rural
Rajasthan, 31-10-2019, Monthly, 14.66, 15178544.00, 42.69,Rural
Rajasthan, 30-11-2019, Monthly, 10.47, 15278556.00, 40.87,Rural
Rajasthan, 31-12-2019, Monthly, 13.96, 15485307.00, 43.00,Rural
Rajasthan, 31-01-2020, Monthly, 8.00, 15484353.00, 40.12,Rural
Rajasthan, 29-02-2020, Monthly, 14.48, 15040572.00, 41.83,Rural
Rajasthan, 31-03-2020, Monthly, 9.47, 15059769.00, 39.47,Rural
Rajasthan, 30-04-2020, Monthly, 12.25, 13051219.00, 35.21,Rural
Rajasthan, 31-05-2020, Monthly, 10.45, 15586833.00, 41.11,Rural
Rajasthan, 30-06-2020, Monthly, 13.86, 16076978.00, 43.98,Rural
Sikkim, 31-10-2019, Monthly, 5.48, 146688.00, 44.06,Rural
Sikkim, 30-11-2019, Monthly, 13.11, 162426.00, 53.04,Rural
Sikkim, 31-12-2019, Monthly, 1.00, 161647.00, 46.30,Rural
Sikkim, 30-04-2020, Monthly, 0.00, 133399.00, 37.72,Rural
Sikkim, 30-06-2020, Monthly, 5.81, 141313.00, 42.36,Rural
Tamil Nadu, 31-05-2019, Monthly, 0.97, 15844698.00, 49.44,Rural
Tamil Nadu, 30-06-2019, Monthly, 0.92, 16375303.00, 50.99,Rural
Tamil Nadu, 31-07-2019, Monthly, 6.01, 16455928.00, 53.94,Rural
Tamil Nadu, 31-08-2019, Monthly, 2.91, 16463931.00, 52.17,Rural
Tamil Nadu, 30-09-2019, Monthly, 1.71, 14595441.00, 45.62,Rural
Tamil Nadu, 31-10-2019, Monthly, 1.46, 15595647.00, 48.55,Rural
Tamil Nadu, 30-11-2019, Monthly, 2.46, 16223430.00, 50.95,Rural
Tamil Nadu, 31-12-2019, Monthly, 3.73, 15356938.00, 48.80,Rural
Tamil Nadu, 31-01-2020, Monthly, 1.18, 14954646.00, 46.23,Rural
Tamil Nadu, 29-02-2020, Monthly, 1.17, 15828488.00, 48.86,Rural
Tamil Nadu, 31-03-2020, Monthly, 6.36, 15848590.00, 51.56,Rural
Tamil Nadu, 30-04-2020, Monthly, 53.19, 5086200.00, 33.05,Rural
Tamil Nadu, 31-05-2020, Monthly, 38.73, 5768342.00, 28.60,Rural
Tamil Nadu, 30-06-2020, Monthly, 2.06, 10169115.00, 31.49,Rural
Telangana, 31-05-2019, Monthly, 2.23, 11053353.00, 61.74,Rural
Telangana, 30-06-2019, Monthly, 5.92, 10728822.00, 62.19,Rural
Telangana, 31-07-2019, Monthly, 2.45, 11538688.00, 64.40,Rural
Telangana, 31-08-2019, Monthly, 1.40, 10743959.00, 59.23,Rural
Telangana, 30-09-2019, Monthly, 5.49, 12636415.00, 72.57,Rural
Telangana, 31-10-2019, Monthly, 7.29, 11375354.00, 66.49,Rural
Telangana, 30-11-2019, Monthly, 6.47, 11265828.00, 65.17,Rural
Telangana, 31-12-2019, Monthly, 1.35, 11068056.00, 60.61,Rural
Telangana, 31-01-2020, Monthly, 5.02, 12065915.00, 68.51,Rural
Telangana, 29-02-2020, Monthly, 9.02, 11304474.00, 66.92,Rural
Telangana, 31-03-2020, Monthly, 5.63, 12028377.00, 68.53,Rural
Telangana, 30-04-2020, Monthly, 4.51, 8793799.00, 49.44,Rural
Telangana, 31-05-2020, Monthly, 34.01, 7508747.00, 61.00,Rural
Telangana, 30-06-2020, Monthly, 19.30, 8891181.00, 58.97,Rural
Tripura, 31-05-2019, Monthly, 29.25, 1019549.00, 64.47,Rural
Tripura, 30-06-2019, Monthly, 26.64, 1107013.00, 67.40,Rural
Tripura, 31-07-2019, Monthly, 22.47, 1052597.00, 60.54,Rural
Tripura, 31-08-2019, Monthly, 25.49, 975501.00, 58.29,Rural
Tripura, 30-09-2019, Monthly, 30.23, 1034408.00, 65.90,Rural
Tripura, 31-10-2019, Monthly, 27.54, 1113764.00, 68.21,Rural
Tripura, 30-11-2019, Monthly, 25.25, 1084633.00, 64.29,Rural
Tripura, 31-12-2019, Monthly, 26.53, 1046878.00, 63.02,Rural
Tripura, 31-01-2020, Monthly, 31.91, 1057975.00, 68.61,Rural
Tripura, 29-02-2020, Monthly, 26.22, 1169347.00, 69.88,Rural
Tripura, 31-03-2020, Monthly, 31.61, 1060946.00, 68.28,Rural
Tripura, 30-04-2020, Monthly, 43.64, 675083.00, 52.63,Rural
Tripura, 31-05-2020, Monthly, 14.71, 911789.00, 46.90,Rural
Tripura, 30-06-2020, Monthly, 18.84, 1106978.00, 59.74,Rural
Uttar Pradesh, 31-05-2019, Monthly, 10.26, 43287808.00, 39.96,Rural
Uttar Pradesh, 30-06-2019, Monthly, 11.13, 42276572.00, 39.32,Rural
Uttar Pradesh, 31-07-2019, Monthly, 9.19, 42697000.00, 38.78,Rural
Uttar Pradesh, 31-08-2019, Monthly, 11.47, 43298746.00, 40.24,Rural
Uttar Pradesh, 30-09-2019, Monthly, 6.45, 44198762.00, 38.79,Rural
Uttar Pradesh, 31-10-2019, Monthly, 10.18, 42833265.00, 39.07,Rural
Uttar Pradesh, 30-11-2019, Monthly, 6.94, 43261530.00, 38.01,Rural
Uttar Pradesh, 31-12-2019, Monthly, 8.43, 44640087.00, 39.77,Rural
Uttar Pradesh, 31-01-2020, Monthly, 6.06, 45777509.00, 39.67,Rural
Uttar Pradesh, 29-02-2020, Monthly, 8.12, 44257432.00, 39.13,Rural
Uttar Pradesh, 31-03-2020, Monthly, 9.37, 43086706.00, 38.53,Rural
Uttar Pradesh, 30-04-2020, Monthly, 19.92, 39970677.00, 40.37,Rural
Uttar Pradesh, 31-05-2020, Monthly, 16.89, 38640999.00, 37.52,Rural
Uttar Pradesh, 30-06-2020, Monthly, 8.51, 41908909.00, 36.89,Rural
Uttarakhand, 31-05-2019, Monthly, 1.63, 2108044.00, 37.47,Rural
Uttarakhand, 30-06-2019, Monthly, 4.65, 2021553.00, 37.01,Rural
Uttarakhand, 31-07-2019, Monthly, 5.74, 2000524.00, 36.97,Rural
Uttarakhand, 31-08-2019, Monthly, 6.11, 1911380.00, 35.39,Rural
Uttarakhand, 30-09-2019, Monthly, 3.47, 2157845.00, 38.79,Rural
Uttarakhand, 31-10-2019, Monthly, 4.83, 2027662.00, 36.90,Rural
Uttarakhand, 30-11-2019, Monthly, 5.56, 2007113.00, 36.73,Rural
Uttarakhand, 31-12-2019, Monthly, 4.52, 1947566.00, 35.19,Rural
Uttarakhand, 31-01-2020, Monthly, 4.17, 1986386.00, 35.69,Rural
